# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	4839	6236	+							CNA00010	1398		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	4839	6236	+			AAW41410.2	expressed protein			CNA00010	1012		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	4914	6059	+	AAW41410.2			expressed protein			CNA00010	822	273	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	6342	8374	-							CNA00020	2033		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	6342	8374	-			AAW40616.1	expressed protein			CNA00020	1237		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	6520	8278	-	AAW40616.1			expressed protein			CNA00020	963	320	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	9003	12963	+							CNA00030	3961		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	9003	12963	+			AAW40617.1	cation transporter, putative			CNA00030	3564		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	9208	12574	+	AAW40617.1			cation transporter, putative			CNA00030	2970	989	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	14271	15995	-							CNA00040	1725		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	14271	15995	-			AAW40618.2	calcium-binding protein, putative			CNA00040	1405		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	14508	15931	-	AAW40618.2			calcium-binding protein, putative			CNA00040	1104	367	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	16160	20462	+							CNA00050	4303		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	16160	20462	+			AAW40619.2	cell cycle arrest in response to pheromone-related protein, putative			CNA00050	3605		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	16255	20462	+	AAW40619.2			cell cycle arrest in response to pheromone-related protein, putative			CNA00050	3510	1169	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	18733	22794	-							CNA00060	4062		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	18733	22794	-			AAW40620.1	methionine-tRNA ligase, putative			CNA00060	3613		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	20633	22709	-	AAW40620.1			methionine-tRNA ligase, putative			CNA00060	1749	582	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	22943	24309	+							CNA00070	1367		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	22943	24309	+			AAW40621.1	proteolysis and peptidolysis-related protein, putative			CNA00070	999		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	22985	24309	+	AAW40621.1			proteolysis and peptidolysis-related protein, putative			CNA00070	957	318	
